code,name,members,member_count
AFE,Africa Eastern and Southern,"ETH,BDI,SOM,COM,ZWE,NAM,SWZ,KEN,COD,MUS,MWI,BWA,ERI,TZA,AGO,LSO,RWA,SSD,UGA,ZAF,MDG,SYC,ZMB,SDN,MOZ,STP",26
AFR,Africa,"ETH,GIN,LBR,GAB,MLI,LBY,GHA,BDI,CMR,GNQ,NGA,SOM,COM,ZWE,MRT,CAF,NAM,SWZ,BEN,KEN,COD,BFA,MUS,MWI,TUN,BWA,ERI,TZA,AGO,DJI,CPV,LSO,RWA,DZA,SLE,EGY,GNB,SSD,UGA,ZAF,MDG,TCD,CIV,SYC,TGO,MAR,ZMB,COG,SEN,SDN,MOZ,STP,GMB,NER",54
AFW,Africa Western and Central,"GIN,LBR,GAB,MLI,GHA,CMR,NGA,GNQ,MRT,CAF,BEN,BFA,CPV,SLE,GNB,TCD,CIV,TGO,COG,SEN,GMB,NER",22
ARB,Arab World,"PSE,OMN,LBY,SOM,COM,MRT,JOR,SAU,SYR,TUN,QAT,DJI,LBN,DZA,KWT,EGY,YEM,IRQ,MAR,ARE,SDN,BHR",22
CAA,Sub-Saharan Africa (IFC classification),"ETH,GIN,LBR,GAB,MLI,GHA,BDI,CMR,GNQ,NGA,SOM,COM,ZWE,MRT,CAF,NAM,SWZ,BEN,KEN,COD,BFA,MUS,MWI,BWA,ERI,TZA,AGO,DJI,CPV,LSO,RWA,SLE,GNB,SSD,UGA,ZAF,MDG,TCD,CIV,SYC,TGO,ZMB,COG,SEN,SDN,MOZ,STP,GMB,NER",49
CEA,East Asia and the Pacific (IFC classification),"KIR,NCL,KOR,TLS,PLW,WSM,TUV,MAC,VUT,BRN,THA,FSM,PHL,LAO,MYS,SGP,IDN,GUM,TON,HKG,MNG,PNG,VNM,PRK,PYF,MMR,FJI,ASM,CHN,MHL,MNP,SLB,KHM",33
CEB,Central Europe and the Baltics,"POL,LVA,EST,HUN,BGR,LTU,SVN,ROU,SVK,CZE,HRV",11
CEU,Europe and Central Asia (IFC classification),"LVA,HUN,ALB,KAZ,UKR,KGZ,MDA,TJK,MNE,EST,MLT,TUR,LTU,ROU,GEO,HRV,BLR,POL,RUS,BIH,SRB,XKX,CZE,UZB,ARM,BGR,SVN,AZE,TKM,SVK,MKD",31
CLA,Latin America and the Caribbean (IFC classification),"URY,KNA,LCA,DOM,COL,PER,CHL,SLV,HND,BRA,PRI,MEX,GTM,VEN,SUR,ECU,ARG,CYM,VCT,BRB,PAN,CUW,BOL,ATG,GUY,BMU,CRI,SXM,ABW,DMA,JAM,GRD,VIR,TTO,HTI,BLZ,PRY,BHS,NIC",39
CME,Middle East and North Africa (IFC classification),"PSE,OMN,LBY,JOR,SYR,SAU,TUN,PAK,QAT,LBN,DZA,KWT,EGY,YEM,AFG,IRQ,MAR,ARE,IRN,BHR",20
